station_uuid,durchschnitt_aenderung,uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json
02a1baf8-6126-49a8-951f-8e6c1c4b9aa6,0.7446808510638298,02a1baf8-6126-49a8-951f-8e6c1c4b9aa6,Sdrenka GmbH,,Hertener Str.,52,45701,Herten,51.5994263,7.096805,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
7f56130a-9a04-47cf-bfb5-c5955616aa64,0.7777777777777778,7f56130a-9a04-47cf-bfb5-c5955616aa64,TotalEnergies Autohof Magdeburg,TotalEnergies Autohof,Glindenberger Weg,3,39126,Magdeburg,52.211288,11.670514,2014-03-18T16:45:31.000+01:00,{}
26f58c0d-94e5-45db-935a-8ecf9870d8f6,0.9393939393939394,26f58c0d-94e5-45db-935a-8ecf9870d8f6,Sb Eisleben Rathenaustr. 13d,SB,Rathenaustr.,13d,06295,Eisleben,51.521206,11.557465,2014-03-18T16:45:31.000+01:00,{}
934302f5-b6b6-4058-bfe9-facec59b706b,0.7317073170731707,934302f5-b6b6-4058-bfe9-facec59b706b,Hämelerwald,SCORE,Hermesstr.,2,31275,Lehrte,52.357357,10.117162,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 06:00\"\""
005056ba-7cb6-1ed2-bceb-65ef408c0d1d,0.7586206896551724,005056ba-7cb6-1ed2-bceb-65ef408c0d1d,ORLEN Tankstelle,ORLEN,Köllner Chaussee,98,25337,Elmshorn,53.755285,9.680767,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 05:30\"\""
99d06991-ee2b-46c0-b81a-98dbe0c7eee3,0.6808510638297872,99d06991-ee2b-46c0-b81a-98dbe0c7eee3,Shell Bremen Osterholzer Heerstr. 222,Shell,Osterholzer Heerstr.,222,28325,Bremen,53.057735,8.962569,2014-03-18T16:45:31.000+01:00,{}
a23b074d-5ae8-4ebb-8e27-b4edb3128959,0.9354838709677419,a23b074d-5ae8-4ebb-8e27-b4edb3128959,Aral Tankstelle,ARAL,Kranichfelder Straße,2,99097,Erfurt,50.958447,11.053105,2014-03-18T16:45:31.000+01:00,{}
5603b5cf-e657-44a5-87d8-e0dfd141e313,0.6785714285714286,5603b5cf-e657-44a5-87d8-e0dfd141e313,Aral Tankstelle,ARAL,Gilchingerstraße,31,82239,Alling,48.1381,11.299389,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":64"
5b9216c3-a1bb-4e15-929b-696b8d9fbbf4,0.7959183673469388,5b9216c3-a1bb-4e15-929b-696b8d9fbbf4,Aral Tankstelle,ARAL,Elmshorner Straße,36,25524,Itzehoe,53.905807,9.507933,2014-03-18T16:45:31.000+01:00,{}
63981d4f-ee3c-442a-9e60-930aa69f2cad,0.9393939393939394,63981d4f-ee3c-442a-9e60-930aa69f2cad,Aral Tankstelle,ARAL,Miesbacher Straße,33,83607,Holzkirchen,47.875805,11.710166,2014-03-18T16:45:31.000+01:00,{}
dea32847-27c8-4f69-aff8-e56a6b918a12,0.8888888888888888,dea32847-27c8-4f69-aff8-e56a6b918a12,Aral Tankstelle,ARAL,Gaustraße,156,67549,Worms,49.646156,8.349439,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":64"
8957353c-bf6d-42b5-871f-e41e8f1e9090,0.6296296296296297,8957353c-bf6d-42b5-871f-e41e8f1e9090,Sb Moers Kleverstr. 23,SB,Kleverstr.,23,47441,Moers,51.452387,6.637729,2014-09-11T00:00:01.000+02:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":255"
5f0ce419-4e72-4bb2-ad44-7c0fe45d0910,0.8571428571428571,5f0ce419-4e72-4bb2-ad44-7c0fe45d0910,SEELBACH - HAUPTSTR. 57,AGIP ENI,Hauptstr.,57,77960,Seelbach,48.315761090412,7.93853568604,2014-03-20T00:00:01.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
e1a15081-250e-9107-e040-0b0a3dfe563c,0.7407407407407407,e1a15081-250e-9107-e040-0b0a3dfe563c,"Gardelegen, Jävenitzer Str. 31",HEM,Jävenitzer Str.,31,39638,Gardelegen,52.452352,11.489185,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":127"
6425f56e-23a7-43cc-9f55-7baaac9bdc80,0.6666666666666666,6425f56e-23a7-43cc-9f55-7baaac9bdc80,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte Zell,Globus SB Warenhaus,Fliehburgstr.,18,56856,Zell,50.02864,7.15655,2014-03-18T16:45:31.000+01:00,{}
f1251e4c-647f-43cf-9654-345961cce015,0.7115384615384616,f1251e4c-647f-43cf-9654-345961cce015,Autohaus Rickmeier GmbH,Freie Tankstelle,Meinbrexer Str.,5,37697,Lauenförde,51.66512298584,9.3859205245972,2020-02-12T14:01:14.000+01:00,{}
005056ba-7cb6-1ed2-bceb-711467cc4d23,0.7428571428571429,005056ba-7cb6-1ed2-bceb-711467cc4d23,ORLEN Tankstelle,ORLEN,Bochumer Landstraße,184,45276,Essen,51.447228,7.092898,2014-03-18T16:45:31.000+01:00,"\"{\"\"overrides\"\":[{\"\"startp\"\":\"\"2024-12-31 05:30\"\""
36d5f922-89ce-4752-98ec-589b1421ebe7,1.0,36d5f922-89ce-4752-98ec-589b1421ebe7,AVIA Tankstelle,AVIA,Münchner Str.,45,85221,Dachau,48.2518019,11.4411667,2022-07-22T00:01:23.000+02:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
b5ca6397-d5ec-4c30-bee1-b154a43d13ef,0.9629629629629629,b5ca6397-d5ec-4c30-bee1-b154a43d13ef,MSS-VARO Energy Direct Helmepark,MSS-VARO Energy,Auenweg,2,06526,Sangerhausen,51.461305,11.268073,2020-10-06T14:01:18.000+02:00,{}
805ebe8f-162f-40fc-b9b9-84805c64f044,0.8809523809523809,805ebe8f-162f-40fc-b9b9-84805c64f044,Esso Tankstelle,ESSO,SCHWARZER WEG 23,"",31224,PEINE,52.328002,10.234331,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
682129dc-98f9-4055-b88f-37083050559a,0.9705882352941176,682129dc-98f9-4055-b88f-37083050559a,Esso Tankstelle,ESSO,AARSTR. 57,"",65623,HAHNSTAETTEN,50.302859,8.064331,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
9f2b85c2-f137-4f96-b4e4-240bd3bfdc8b,0.9090909090909091,9f2b85c2-f137-4f96-b4e4-240bd3bfdc8b,Esso Tankstelle,ESSO,UERDINGER STR. 8,"",40668,MEERBUSCH,51.303487,6.671054,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":127"
c647002c-f810-4e13-b2bd-4bc818fbe632,0.8536585365853658,c647002c-f810-4e13-b2bd-4bc818fbe632,Esso Tankstelle,ESSO,FREIBURGER STR. 27,"",79183,WALDKIRCH,48.090215,7.952475,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
aacf721b-b3a7-41b9-9e71-14db4e1caffa,0.9047619047619048,aacf721b-b3a7-41b9-9e71-14db4e1caffa,TotalEnergies Usingen,TotalEnergies,Weilburger Str.,30-33,61250,Usingen,50.340076,8.534939,2014-03-18T16:45:31.000+01:00,"\"{\"\"openingTimes\"\":[{\"\"applicable_days\"\":31"
