city,durchschnittspreis
Altenkirchen,1.5848510638297872
Jever,1.5852068965517243
Mainz,1.6006666666666665
Magdeburg,1.640638341968912
Ludwigsfelde,1.6714691358024696
Hilpoltstein,1.637913043478261
Wittichenau,1.6347499999999997
Bingen,1.6011666666666668
Bad Feilnbach,1.639277777777778
Osterode,1.6055686274509804
Röbel,1.668974358974359
Alpirsbach,1.5787142857142857
Weißandt-Gölzau,1.6442777777777777
Hambühren,1.5991315789473681
SCHOENWALDE-GLIEN,1.673225352112676
Langenau,1.6011138211382112
NEU-ULM,1.604625
HIDDENHAUSEN,1.5621578947368422
Holzhausen,1.5956666666666663
Stadum,1.5768571428571427
Münstertal,1.5928421052631578
Nobitz,1.6056666666666668
Gieboldehausen,1.617648648648649
Hofheim Am Taunus,1.6066190476190474
Willroth,1.5889999999999997
Schlier,1.6245
Güster,1.6705217391304346
Suhlendorf,1.5779999999999998
Mandelbachtal,1.6002
Fulda,1.5857999999999999
Frankenberg,1.6041556420233465
Beelitz,1.6897894736842103
Stadtilm,1.608090909090909
Dannenberg,1.6330425531914894
Waren,1.6953636363636364
Wuppertal-Elberfeld,1.5822558139534881
Lathen,1.609
Buchholz,1.5790368421052627
Huede,1.56525
Bernsdorf,1.6360370370370372
Bous,1.567
Germering,1.6344310344827584
SALZGITTER,1.6335070422535212
MAINZ-KASTEL,1.6060270270270272
Reit im Winkl,1.6243846153846155
STOLLBERG,1.6141219512195122
Cham,1.603375
Linz,1.5576666666666663
Halsenbach,1.55525
Abstatt,1.5895555555555554
Gersfeld,1.549
Zirndorf,1.6163684210526312
Diemarden,1.589
Morsbach,1.5724782608695653
Ransbach-Baumbach,1.5513076923076925
Kirchlinteln,1.575
Dittweiler,1.5823333333333336
Bellenberg,1.595
Gross Denkte,1.661
Kaiserslautern,1.547457746478873
Schifferstadt,1.611037037037037
Hirschberg,1.586777777777778
Gebhardshain,1.5165000000000002
Vieselbach,1.578393939393939
Simmern,1.5750655737704915
Ahrensfelde,1.6407796610169494
Kuerten,1.5812727272727272
Gemuenden A.Main,1.6101764705882353
Wiernsheim,1.6284117647058824
Goldbeck,1.6312727272727272
Rehfelde,1.6201111111111108
OER-ERKENSCHWICK,1.6051728395061726
SCHORNDORF,1.6256666666666666
EBERSBERG,1.579357142857143
COTTBUS,1.6324545454545456
EISENBERG,1.5611052631578946
HALBERSTADT,1.6226585365853659
KIRCHHEIM AM NECKAR,1.588142857142857
Hennef-Geistingen,1.5731176470588235
Ebendoerfel,1.5818571428571429
Bastorf,1.631972972972973
Schelklingen,1.6222258064516129
Schongau,1.6106129032258065
Bad Herrenalb,1.6035714285714286
Herbsleben,1.609
Theessen,1.6356666666666668
Pulheim,1.5970288461538462
Kleve,1.6237058823529413
Isernhagen-Kirchhorst,1.5988039215686274
Gillersheim,1.5297142857142858
Königsee-Rottenbach,1.635
BAD SACHSA,1.6148064516129035
HAHNSTAETTEN,1.5748823529411764
BESTWIG,1.5914324324324323
Worpswede,1.5394444444444442
Rehburg,1.5438571428571428
WEILERSBACH,1.6274374999999999
OPPENHEIM,1.563
NAGOLD,1.6110833333333334
GRIMMA,1.6109047619047618
Roemerberg,1.5928709677419355
Bad Schwalbach,1.610529411764706
Grabenstätt,1.6845555555555558
Niederneisen,1.5955625
Bergtheim,1.5884444444444445
Queidersbach,1.539
Minden-Leteln,1.5726363636363636
Gebesee,1.5898333333333337
Oelde,1.5955945945945944
Ochsenfurt,1.6019464285714289
Sande,1.6016315789473683
Roedental,1.6536
Delmenhorst,1.603522058823529
Knüllwald,1.6946451612903228
Penzing,1.5873333333333335
Gaertringen,1.6275714285714287
Markdorf,1.5769310344827585
Affolterbach,1.574714285714286
Niederlangen,1.587108108108108
LEUTKIRCH,1.614714285714286
BAD DOBERAN,1.6078636363636363
Harsefeld,1.5646603773584904
WEHINGEN,1.590851851851852
KREUZTAL,1.5597843137254903
WOLMIRSTEDT,1.6406129032258063
Wiesbaden-Nordenstadt,1.5822727272727277
Lößnitz,1.6131772151898733
GOMARINGEN,1.5579655172413793
Gangkofen,1.6567777777777777
Bedburg-Hau,1.6012222222222223
Walsrode,1.595938775510204
Diepenau,1.5422142857142853
Rodalben,1.5755217391304346
Eppstein,1.6067419354838708
Halle (Westf.),1.5992816901408449
Dettenheim-Liedolsheim,1.5782857142857143
Hassfurt,1.6673333333333336
Fürstenau,1.560372549019608
Adelzhausen,1.5923333333333332
Holle,1.6134736842105264
Mönchengladbach,1.6260000000000001
Wehr,1.639
Burgbernheim,1.5860731707317073
OFFENBACH,1.5921249999999998
Bohmte,1.598516129032258
Enger,1.568213483146067
Delbrück,1.5843086419753083
Duesseldorf,1.6143934191702425
Weinstadt-Schnait,1.605
Meiningen,1.5833636363636363
Otterndorf,1.5789009900990099
Redentin,1.6595263157894737
Crailsheim,1.6064999999999998
Neckargemünd,1.6136153846153845
Harzgerode,1.6228271604938274
Grafing,1.6063684210526317
Elz,1.5786261682242988
Kloetze,1.6280625
Schönberg,1.6178679245283019
Kleinmaischeid,1.5582592592592592
Roggentin,1.60259595959596
BERGISCH GLADBACH,1.550578947368421
Baienfurt,1.6077999999999997
Stuhr/Groß-Mackenstedt,1.6106666666666667
Murrhardt Fornsbach,1.5955909090909088
BORGENTREICH,1.593791666666667
MOEMBRIS,1.5966470588235293
LOHNE,1.6158376068376064
BERGKAMEN,1.5682753623188406
SINGEN,1.5928823529411766
Weiden,1.6248986175115203
Stelle,1.597974358974359
EUSKIRCHEN,1.5570434782608695
OBERASBACH,1.6062
Oelsnitz/Erzgeb..,1.6233749999999998
Plochingen,1.6193947368421053
Hasselbach,1.5135
Schemmerhofen,1.5967272727272723
Deggingen,1.591051282051282
Loeffingen,1.6088181818181815
Boden,1.5915
Schafflund,1.6202121212121212
Groitzsch,1.6477096774193547
Halblech (Trauchgau),1.5739999999999998
Nalbach,1.5511874999999997
Erfde,1.534
Weingarten,1.612931623931624
Wanderup,1.6262727272727273
Krummhörn Pewsum,1.5707499999999999
Marienhafe,1.592080357142857
Lengerich,1.580694915254237
Zossen,1.6690000000000003
Tuttlingen,1.5991408450704225
Anger,1.6098
Zwoenitz,1.6141612903225804
Legan,1.5603157894736843
Ammern,1.623677419354839
Hatten,1.5992352941176466
Hohenstadt,1.6128095238095237
Leutershausen,1.6082307692307691
WINSEN,1.6322608695652172
SCHWAEBISCH GMUEND,1.6324146341463412
ANNABERG-BUCHHOLZ,1.6325999999999998
NEUSS,1.598187817258883
SEHLEN,1.6526666666666663
Usingen,1.580304347826087
Varel-Neuenwege,1.5830625
Friesoythe,1.57580412371134
Roßtal - Buchschwabach,1.6152499999999999
PULLACH,1.5939999999999999
Wilster,1.6048823529411766
